Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
;"Delibera di Consiglio";03/04/2013;"APPROVAZIONE NUOVO 'REGOLAMENTO PASSI CARRABILI' E CONTESTUALE ABROGAZIONE REGOLAMENTO PASSI CARRABILI APPROVATO CON DELIBERA DI CONSIGLIO ODG 206 DEL 19/11/2007 P.G. 169512/2007.";284002;2012;05/04/2013;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/EEB89F5937968BDAC1257AB00037AB98?OpenDocument"
;"Delibera di Consiglio";03/04/2013;"PROGRAMMA DI ALIENAZIONE E REINVESTIMENTO, FINALIZZATO ALL'INCREMENTO ED AL RECUPERO DEL PATRIMONIO DEL COMUNE DI BOLOGNA DI EDILIZIA RESIDENZIALE PUBBLICA";57375;2013;05/04/2013;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/01BF5E1623841875C1257B24003302AF?OpenDocument"
"27481";"OdG";03/04/2013;"ORDINE DEL GIORNO SUL CONFERIMENTO DELLA CITTADINANZA ONORARIA DELLA CITTA' DI BOLOGNA A PATRIZIA MORETTI, PRESENTATO DAL CONSIGLIERE ZACCHIROLI E ALTRI NELLA SEDUTA DEL 3 APRILE 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";76597;2013;;"Segreteria Generale";"ZACCHIROLI BENEDETTO";"BARCELO' LIZANA LEONARDO LUIS - 27189","BENASSI MARZIA - 33977","BUGANI MASSIMO - 33984","CAVIANO PASQUALE - 32714","CIPRIANI LORENZO - 26392","CRITELLI FRANCESCO - 29442","FERRI MARIARAFFAELLA - 27410","GHETTI MAURIZIO - 22034","LA TORRE CATHY - 33979","LEMBI SIMONA - 32746","MELEGA CORRADO - 27197","MIGNANI MARIANNA - 32794","PETRELLA TOMMASO - 9097","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","SALSI FEDERICA - 32861","SANTI RAFFAELLA - 9181","SAZZINI LORENZO - 33987";
"21843";"OdG";03/04/2013;"ORDINE DEL GIORNO PER ESPRIMERE PIENA E SINCERA SOLIDARIETA' ALLA SIGNORA PATRIZIA MORETTI, PRESENTATO DAL CONSIGLIERE LISEI E ALTRI NELLA SEDUTA DEL 3 APRILE 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";76623;2013;;"Segreteria Generale";"LISEI MARCO";"CARELLA DANIELE - 8904","CASTALDINI VALENTINA - 27997","FACCI MICHELE - 32712","GATTUSO PATRIZIO GIUSEPPE - 20144","TOMASSINI LORENZO - 27208";
"21843";"OdG";08/04/2013;"ORDINE DEL GIORNO PER INVITARE IL GOVERNO E IL PARLAMENTO A FARSI CARICO DELLA SITUAZIONE DELLE SCUOLE DELL'INFANZIA ED ATTIVARE SIN D'ORA UN PROGRESSIVO RIEQUILIBRIO TRA GESTIONE COMUNALE E STATALE OVVERO A DESTINARE MAGGIORI RISORSE AL COMUNE DI BOLOGNA, PRESENTATO DAL CONSIGLIERE LISEI ED ALTRI NELLA SEDUTA DELL'8 APRILE 2012 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";80379;2013;;"Segreteria Generale";"LISEI MARCO";"BERNARDINI MANES - 32719","BORGONZONI LUCIA - 33983","CARELLA DANIELE - 8904","CASTALDINI VALENTINA - 27997","COCCONCELLI MIRKA - 33981","FACCI MICHELE - 32712","SCARANO PAOLA FRANCESCA - 33982","TOMASSINI LORENZO - 27208";
;"Delibera di Consiglio";15/04/2013;"MODIFICA DEL REGOLAMENTO SUL DECENTRAMENTO IN ATTUAZIONE DELLA LEGGE N. 215/2012.";49106;2013;17/04/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/7FA22C12235944ECC1257B1F00408AB1?OpenDocument"
"15586";"OdG";15/04/2013;"ORDINE DEL GIORNO PER AUSPICARE CHE LA SOPRINTENDENZA MODIFICHI IL SUO ATTEGGIAMENTO IN DIREZONE DI UNA PIU' RAPIDA ED EFFICACE RISPOSTA ALLE ESIGENZE DELLA CITTA' E DEI COMMERCIANTI, VISTO IL RUOLO IMPORTANTE CHE RIVESTONO I DEHORS PER LA CITTA', PRESENTATO DAL CONSIGLIERE MARCHESINI E ALTRI NELLA SEDUTA DEL 15 APRILE 2013 E APPROVATO ALL'UNANIMITA' NEL CORSO DELLA SEDUTA STESSA";87846;2013;;"Segreteria Generale";"MARCHESINI ANGELO";"BARCELO' LIZANA LEONARDO LUIS - 27189","BENASSI MARZIA - 33977","BUGANI MASSIMO - 33984","CIPRIANI LORENZO - 26392","CRITELLI FRANCESCO - 29442","DONDARINI ROLANDO - 7040","ERRANI FRANCESCO - 33978","FERRI MARIARAFFAELLA - 27410","GHETTI MAURIZIO - 22034","LA TORRE CATHY - 33979","LAMA ROSSELLA - 32704","LEMBI SIMONA - 32746","MELEGA CORRADO - 27197","MIGNANI MARIANNA - 32794","PETRELLA TOMMASO - 9097","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","SANTI RAFFAELLA - 9181","SAZZINI LORENZO - 33987","TURCI DANIELA - 32708","ZACCHIROLI BENEDETTO - 27481";
;"Delibera di Consiglio";22/04/2013;"APPROVAZIONE DEL PROTOCOLLO DI INTENTI TRA COMUNE DI BOLOGNA PROVINCIA DI BOLOGNA E CONSERVATORIO 'G.B. MARTINI' RELATIVO ALLA RIDEFINIZIONE DEI RECIPROCI RAPPORTI CONCERNENTI IN PARTICOLARE L'IMMOBILE DI PIAZZA ROSSINI 2.";61615;2013;24/04/2013;"Dipartimento Cultura e Scuola";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/6021A106B8A2FE81C1257B2E0039F592?OpenDocument"
;"Delibera di Consiglio";22/04/2013;"INDIZIONE DI ISTRUTTORIA PUBBLICA SUL TEMA DEL DISAGIO ADOLESCENZIALE E GIOVANILE,  AI SENSI DELL'ART. 12 DELLO STATUTO COMUNALE.";82712;2013;24/04/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DCCD5A2C10B6AA31C1257B33003E0BAD?OpenDocument"
;"Delibera di Consiglio";22/04/2013;"APPROVAZIONE DEL RENDICONTO DELLA GESTIONE DELL'ESERCIZIO FINANZIARIO 2012.";69215;2013;24/04/2013;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/211CBEE2F96E93D3C1257B3500333CD6?OpenDocument"
