Progressivo;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
"33981";"OdG";01/10/2012;"ORDINE DEL GIORNO PER IMPEGNARE LA GIUNTA AD ATTIVARE UN PROGRAMMA PREVENZIONE DELLE ALLERGIE E DI TUTELA DELLA SALUTE PUBBLICA ATTRAVERSO AZIONI SUL VERDE PUBBLICO, PRESENTATO DALLA CONSIGLIERA COCCONCELLI ED ALTRI IN DATA 29.11.2011";277245;2011;;"LEGA NORD";"COCCONCELLI MIRKA";"BERNARDINI MANES - 32719","BORGONZONI LUCIA - 33983","SCARANO  PAOLA FRANCESCA";
"33980";"OdG";01/10/2012;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA AD ESTENDERE A TUTTI I QUARTIERI CITTADINI IL PROTOCOLLO 'RIFIUTI ZERO NELLE SCUOLE' ADOTTATO DAL QUARTIRE NAVILE CON DELIBERA PGN 89644/2012, PRESENTATO DAL CONSIGLIERE PIERALISI IN DATA 8.5.2012 ED ALTRI IN DATA 01.10.2012";111274;2012;;"CON AMELIA PER BOLOGNA CON VENDOLA";"PIERALISI MIRCO";"ERRANI FRANCESCO - 33978","LEMBI SIMONA - 32746","SAZZINI LORENZO - 33987";
"27208";"OdG";01/10/2012;"ORDINE DEL GIORNO PER ESPRIMERE SOLIDARIETA' A TUTTI I CITTADINI COINVOLTI NELL'INCURSIONE INTIMIDATORIA E VIOLENTA DELLA SCORSA SETTIMANA IN UN CONDOMINIO NELLA ZONA DI PIAZZA VERDI, PRESENTATO DAL CONS. TOMASSINI ED ALTRI IN IN DATA 11.6.2012.";142573;2012;;"POPOLO DELLA LIBERTA'";"TOMASSINI LORENZO";"BERNARDINI MANES - 32719","COCCONCELLI MIRKA - 33981","GATTUSO PATRIZIO GIUSEPPE - 20144","SCARANO PAOLA FRANCESCA - 33982";
;"Delibera di Consiglio";01/10/2012;"NULLA-OSTA AL RILASCIO DI PERMESSO DI COSTRUIRE  IN DEROGA ALLE NORME DEL RUE VIGENTE, RELATIVO ALLA NUOVA COSTRUZIONE DI UNA CABINA  DELL' ENEL IN VIA DEL CARROZZAIO N.  12 ,  AI SENSI DELL'ARTICOLO 15 DELLA LR 31/02";213119;2012;03/10/2012;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/A396B1AC1AEA29DDC1257A4100371D95?OpenDocument"
;"Delibera di Consiglio";01/10/2012;"APPROVAZIONE DI UNA CONVENZIONE TRA IL COMUNE DI BOLOGNA ED IL COMUNE DI CREVALCORE (BO) PER LA CONCESSIONE DI N. 13 ALLOGGI DI E.R.P. DI PROPRIETA' DEL COMUNE DI BOLOGNA, SITI NEI COMUNI DI CALDERARA DI RENO ( BO)  E CASTELLO D'ARGILE (BO), DA ASSEGNARE A NUCLEI FAMILIARI  COLPITI DAL SISMA DEL 20/29 MAGGIO 2012";211904;2012;03/10/2012;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/CC71F392A4A43BD6C1257A76004212E7?OpenDocument"
;"Delibera di Consiglio";08/10/2012;"APPROVAZIONE DELLA FUSIONE PER INCORPORAZIONE DI ACEGAS-APS HOLDING S.R.L. IN HERA  E DEL CONSEGUENTE AUMENTO DI CAPITALE  A SERVIZIO DELLA  PROMOZIONE DI UN'OFFERTA PUBBLICA DI SCAMBIO E  DI  MODIFICHE ALLO STATUTO SOCIALE DI HERA  E  AL CONTRATTO DI ADESIONE AL SINDACATO DI VOTO E DISCIPLINA DEI TRASFERIMENTI AZIONARI STIPULATO IL 21.12.2011.  APPROVAZIONE DELLA  DELEGA  AL CDA PER UN FUTURO AUMENTO DI CAPITALE  DA ESERCITARSI NEL PROSSIMO TRIENNIO E DI UN  ACCORDO DI COMPRAVENDITA DI DIRITTI DI OPZIONE NONCHE' DI CONSEGUENTI MODIFICHE STATUTARIE.";221715;2012;10/10/2012;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/AE9A019BFDBE6BAFC1257A80002B0706?OpenDocument"
;"Delibera di Consiglio";15/10/2012;"ISTITUZIONE PER L'INCLUSIONE SOCIALE E COMUNITARIA 'DON PAOLO SERRA ZANETTI' DEL COMUNE DI BOLOGNA: APPROVAZIONE DEL BILANCIO ANNUALE DI PREVISIONE PER L'ESERCIZIO 2012 E DEL BILANCIO PLURIENNALE 2012-2014. APPROVAZIONE DEL BILANCIO PER L'ESERCIZIO 2012 E PER IL TRIENNIO 2012-2014 SECONDO I PRINCIPI CONTENUTI NEL DPCM 28 DICEMBRE 2011 (SPERIMENTAZIONE DELLA NUOVA DISCIPLINA CONTABILE).";180195;2012;17/10/2012;"Dipartimento Benessere di Comunità";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/59EC536B2E84D759C1257A4B004DA37E?OpenDocument"
;"Delibera di Consiglio";15/10/2012;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2012 A SEGUITO DELL'ANDAMENTO DELLA GESTIONE FINANZIARIA (RAG. III).";219603;2012;17/10/2012;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/14423A8CFAB37D0BC1257A7D002AD0A6?OpenDocument"
;"Delibera di Consiglio";15/10/2012;"DISCIPLINA TRANSITORIA IN MATERIA DI FORMAZIONE DEGLI AGGIORNAMENTI DELLA GRADUATORIA PER L'ASSEGNAZIONE DEGLI ALLOGGI DI EDILIZIA RESIDENZIALE PUBBLICA";226618;2012;17/10/2012;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/5DA19EA4E6900B18C1257A840049C890?OpenDocument"
;"Delibera di Consiglio";15/10/2012;"INDIRIZZI PER L'AFFIDAMENTO DEI SERVIZI AFFERENTI AL PIANO SOSTA E AI SERVIZI COMPLEMENTARI ALLA MOBILITA' DEFINITI CON ATTO COMMISSARIALE PG.N 294925/2010 E CON DELIBERA DI CONSIGLIO COMUNALE P.G. 272229/2011 - CONFERMA E ULTERIORI PRECISAZIONI - CONSEGUENTE MESSA IN LIQUIDAZIONE ATC S.P.A.";228702;2012;17/10/2012;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/B8DB4352CDA00102C1257A8600327F9F?OpenDocument"
"33985";"OdG";15/10/2012;"ORDINE DEL GIORNO PER INVITARE IL GOVERNO E LE CAMERE A VALUTARE UN INTERVENTO LEGISLATIVO PER PERMETTERE UNA PIU' EFFICIENTE GESTIONE DEI SERVIZI INERENTI LA SOSTA, PRESENTATO DAL CONSIGLIERE PIAZZA ED ALTRI DURANTE LA SEDUTA DELLA IV COMMISSIONE IN DATA 11.10.2012.";240577;2012;;"Commissione Mobilità Infrastrutture e Lavori Pubblici";"PIAZZA MARCO";"BUGANI MASSIMO - 33984","SALSI FEDERICA - 32861";
"33985";"OdG";15/10/2012;"ORDINE DEL GIORNO PER AUSPICARE CHE NEL PROSSIMO BANDO PER L'AFFIDAMENTO DEL TPL SIANO INCLUSI ANCHE I SERVIZI RELATIVI ALLA SOSTA, SE IL QUADRO LEGISLATIVO NON SARA' MUTATO, PRESENTATO DAL CONSIGLIERE PIAZZA E ALTRI NELLA SEDUTA DEL 15 OTTOBRE 2012 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";244428;2012;;"Segreteria Generale";"PIAZZA MARCO";"BUGANI MASSIMO - 33984","LA TORRE CATHY - 33979","LO GIUDICE SERGIO - 18313","SALSI FEDERICA - 32861";
"33985";"OdG";22/10/2012;"ORDINE DEL GIORNO PER INVITARE LA GIUNTA A INCENTIVARE E PROMUOVERE PROGETTI CHE PREVEDANO L'UTILIZZO DI STOVIGLIE PORTATE DA CASA PURCHE' CONDIVISI DALLE FAMIGLIE, PRESENTATO DAL CONSIGLIERE MARCO PIAZZA ED ALTRI IN DATA 12/4/2012 E FORMALIZZATO DALLA COMMISSIONE DEL 17/05/2012";170126;2012;;"Commissione Istruzione Cultura Giovani Comunicazione";"PIAZZA MARCO";"BUGANI MASSIMO - 33984","CARELLA DANIELE - 8904","CASTALDINI VALENTINA - 27997","FACCI MICHELE - 32712","LISEI MARCO - 21843","SALSI FEDERICA - 32861","SCARANO PAOLA FRANCESCA - 33982","ALDROVANDI STEFANO - 33986","BERNARDINI MANES - 32719","ERRANI FRANCESCO - 33978","LA TORRE CATHY - 33979","LEMBI SIMONA - 32746","LO GIUDICE SERGIO - 18313","MELEGA CORRADO - 27197","PETRELLA TOMMASO - 9097","SAZZINI LORENZO - 33987";
