Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
;"Delibera di Consiglio";07/01/2013;"APPROVAZIONE MODIFICHE E INTEGRAZIONI REGOLAMENTO DELL'IMPOSTA DI SOGGIORNO COMUNE DI BOLOGNA.";235268;2012;09/01/2013;"Entrate";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/3F79B80D14694641C1257AB700516410?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"APPROVAZIONE MODIFICHE E INTEGRAZIONI AL 'REGOLAMENTO DELLE ENTRATE COMUNALI E DELLA RELATIVA RISCOSSIONE', APPROVATO CON DELIBERAZIONE PG 161723/1998 E SS.MM.II.";214922;2012;09/01/2013;"Entrate";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/7F05E1DE2F700C66C1257AB70051E41F?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"APPROVAZIONE DI MODIFICHE AL REGOLAMENTO PER L'APPLICAZIONE DELL'IMPOSTA DI PUBBLICITA' E PER L'EFFETTUAZIONE DEL SERVIZIO DELLE PUBBLICHE AFFISSIONI";225898;2012;09/01/2013;"Entrate";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/E48637B95CA7504DC1257AB70051B3BD?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"ADESIONE COMUNE DI BOLOGNA, IN QUALITA` DI SOCIO FONDATORE, ALLA FONDAZIONE 'ITS-SMAI - ISTITUTO TECNICO SUPERIORE PER LE NUOVE TECNOLOGIE PER IL MADE IN ITALY-SISTEMA MECCANICA-AUTOMAZIONE INDUSTRIALE'";277950;2012;09/01/2013;"Istruzione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/D19C058BF906E157C1257AC300326DA1?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"ART. 13 COMMA 5 L.R. N. 23/2004 - DICHIARAZIONE SUSSISTENZA DI PREVALENTI INTERESSI PUBBLICI AL MANTENIMENTO DI OPERE EDILIZIE REALIZZATE IN ASSENZA O IN TOTALE DIFFORMITA' CON PERMESSO DI COSTRUIRE IN AREA SITA IN VIA DEL ROSARIO N. 2/5 E N. 2/7- VIA DEL TREBBO N.12, IDENTIFICATA AL CATASTO FOGLIO 18 MAPP 6";278241;2012;09/01/2013;"Patrimonio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/67CE34CE314D3828C1257AC30036876C?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"ESPRESSIONE PARERE POSITIVO ACCESSO VALUTAZIONE TECNICA MANIFESTAZIONI DI INTERESSE RELATIVE A INTERVENTI ESTRATTIVI CAPPELLINA (CAVE NORD S.R.L.), POSSESSIONE PALAZZO (CONSORZIO CAVE BOLOGNA SOC. COOP.) VILLINO DEI FIORI (CONSORZIO CAVE BOLOGNA SOC. COOP.)";283486;2012;09/01/2013;"Ambiente e Energia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/689130E2555E985DC1257AC9004CA490?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"MODIFICA DELLA COMPOSIZIONE DELLE COMMISSIONI CONSILIARI A SEGUITO DELLA COSTITUZIONE DEL GRUPPO MISTO E ULTERIORI MODIFICHE.";295116;2012;09/01/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F75B8F650D232DBDC1257AD700418209?OpenDocument"
;"Delibera di Consiglio";07/01/2013;"APPROVAZIONE REGOLAMENTO SISTEMA CONTROLLI INTERNI";295258;2012;09/01/2013;"Segretario Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/C6E0A20BEC913ABBC1257AD800323060?OpenDocument"
;"Delibera di Consiglio";14/01/2013;"ISTITUZIONE DELLA CONSULTA COMUNALE DELLA BICICLETTA.";175605;2012;16/01/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DE9FDF705609E5EAC1257A3F002B6142?OpenDocument"
;"Delibera di Consiglio";14/01/2013;"PROLUNGAMENTO DELLA LINEA FILOVIARIA 13 E CORRELATO PROGETTO DI ROTATORIA STRADALE NELL'ABITATO DI RASTIGNANO IN COMUNE DI PIANORO: APPROVAZIONE ACCORDO PROCEDIMENTALE TRA REGIONE EMILIA ROMAGNA, PROVINCIA DI BOLOGNA, COMUNI DI BOLOGNA, PIANORO E SAN LAZZARO DI SAVENA, AGENZIA SRM E T>PER SPA.";286053;2012;16/01/2013;"Mobilità Sostenibile";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/881FF34A54A4DAD1C1257AB4003CAE3A?OpenDocument"
