Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
"33985";"OdG";01/07/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A PROMUOVERE UNA CAMPAGNA INFORMATIVA PER INVITARE I CITTADINI A DEVOLVERE IL 5X1000 AL COMUNE DI BOLOGNA PRESENTATA DAL CONSIGLIERE PIAZZA ED ALTRI IN DATA 13.05.2013.";116238;2013;;"MOVIMENTO 5 STELLE";"PIAZZA MARCO";"BUGANI MASSIMO - 33984","FERRI MARIARAFFAELLA - 27410";
;"Delibera di Consiglio";01/07/2013;"CAAB S.C.P.A.: AUTORIZZAZIONE ALLA COSTITUZIONE DI UN FONDO IMMOBILIARE PER IL FINANZIAMENTO DEL PROGETTO DI VALORIZZAZIONE DI PARTE DELLE AREE. MODIFICA ALLA CONVENZIONE REP.N. 60078 DEL 31 OTTOBRE 1994 TRA COMUNE DI BOLOGNA E CAAB S.C.P.A. E AUTORIZZAZIONE ALLA SUB-CESSIONE ONEROSA DEL DIRITTO DI PROPRIETA' SULLE AREE INTERESSATE DAL PROGETTO.";142976;2013;03/07/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/F04BDFEE867FEDF8C1257B7B0048BC9B?OpenDocument"
"32746";"OdG";08/07/2013;"''GIORNO DELLA MEMORIA'' ISTITUITO DAL PARLAMENTO NAZIONALE AL FINE DI RICORDARE ''TUTTE LE VITTIME DEL TERRORISMO, INTERNO E INTERNAZIONALE E DELLE STRAGI DI TALE MATRICE''. ADESIONE AL PROGETTO MEMORIALE DI BRESCIA, SU PROPOSTA DELLA PRESIDENTE DEL CONSIGLIO, IN DATA 8/05/2013.";109354;2013;;"Segreteria Generale";"LEMBI SIMONA";;
;"Delibera di Consiglio";08/07/2013;"EREDITA' ORNELLA GUIDI: RICOGNIZIONE DEI BENI MOBILI ED IMMOBILI E APPROVAZIONE DELLA DONAZIONE ALL'ASP GIOVANNI XXIII DEI BENI IMMOBILI, AL FINE DI DESTINARE IL VALORE COMPLESSIVO DEL LASCITO AD INTERVENTI DI SOSTEGNO ALLA DOMICILIARITA'  DELLE PERSONE ANZIANE DA SVOLGERE NELL'AMBITO DEL CONTRATTO DI SERVIZIO TRA COMUNE E ASP GIOVANNI XXIII, NEL RISPETTO DELLE VOLONTA' TESTAMENTARIE.";127642;2013;10/07/2013;"Servizi Sociali";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/C40D5C35470B1311C1257B670033732A?OpenDocument"
;"Delibera di Consiglio";08/07/2013;"LEPIDA S.P.A.: APPROVAZIONE DI MODIFICHE STATUTARIE PER ADEGUAMENTO ALLA NORMATIVA SULL'EQUILIBRIO DI GENERE.";157203;2013;10/07/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DF1ECF59FA900013C1257B8D0050F506?OpenDocument"
"32719";"OdG";08/07/2013;"ORDINE DEL GIORNO PER CHIEDERE ALLA GIUNTA DI IMPEGNARSI IN TEMPO CONGRUO A RENDERE NOTO AL PUBBLICO E AI CITTADINI TRAMITE IPERBOLE IN APPOSITA SEZIONE, OGNI ASPETTO DI CUI ALLA EROGAZIONE 'A BENEFICIO DEI PENSIONATI ANZIANI E BISOGNOSI' COME DETTATO NELLA VOLONTA' TESTAMENTARIA DELLA SIGNORA GUIDI ORNELLA E DI REALIZZARE UN'INIZIATIVA CHE PERMETTA ALLA CITTA' DI RICORDARE NEL TEMPO IL GESTO E LA FIGURA DELLA SIGNORA ORNELLA, PRESENTATO DAL CONSIGLIERE BERNARDINI E ALTRI NELLA SEDUTA DELL'8 LUGLIO 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA.";172949;2013;;"Segreteria Generale";"BERNARDINI MANES";"CARELLA DANIELE - 8904";
"22034";"OdG";08/07/2013;"ORDINE DEL GIORNO PER INVITARE TPER AD UTILIZZARE NELLE GIORNATE DI SVOLGIMENTO DEI TDAYS IL MAGGIOR NUMERO POSSIBILE DI MEZZI ABILITATI AL TRASPORTO DELLE PERSONE DISABILI E AD ORGANIZZARE IL SERVIZIO NEL MODO PIU' UTILE PRESENTATO DAL CONSIGLIERE GHETTI E ALTRI NELLA SEDUTA DELL'8 LUGLIO 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA.";173106;2013;;"Segreteria Generale";"GHETTI MAURIZIO";"CIPRIANI LORENZO - 26392","CRITELLI FRANCESCO - 29442";
;"Delibera di Consiglio";15/07/2013;"AUTORIZZAZIONE ALLA SPESA DI EURO 2.655.211,82 PER L'ACQUISIZIONE DEL SERVIZIO DI PULIZIA, SANIFICAZIONE E SERVIZI AUSILIARI DI UFFICI E SERVIZI COMUNALI, UFFICI GIUDIZIARI, SCUOLE DELL'INFANZIA PER IL PERIODO 01/01/2016 - 31/7/2016.";164541;2013;17/07/2013;"Gare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/FBB76C422E041F01C1257B950024A26F?OpenDocument"
;"Delibera di Consiglio";15/07/2013;"CONFERIMENTO DELL'ARCHIGINNASIO D'ORO 2013 ALLA MEMORIA DI PIER UGO CALZOLARI";165626;2013;17/07/2013;"Gabinetto del Sindaco";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/1FF00BBA32747A07C1257B9B003A30F7?OpenDocument"
;"Delibera di Consiglio";22/07/2013;"APPROVAZIONE DEL PRIMO ADEGUAMENTO DEL 'PROGRAMMA DEI LAVORI PUBBLICI 2013-2015', PREVISTO DALL'ART. 128 DEL D.LGS. 163/2006,  DELL'  'ELENCO ANNUALE DEI LAVORI PER IL 2013' E DEL' PIANO POLIENNALE DEI LAVORI PUBBLICI E DEGLI INVESTIMENTI PER IL TRIENNIO 2013-2015'.";167966;2013;24/07/2013;"Dipartimento Cura e Qualità del Territorio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/273685BCF270A4A6C1257B97003532CB?OpenDocument"
"29442";"OdG";22/07/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA, IN COLLABORAZIONE CON LA REGIONE EMILIA ROMAGNA, A INDIVIDUARE LA SOLUZIONE CAPACE DI SALVAGUARDARE SIA LA STORIA E IL VALORE DELL'ARENA DEL SOLE SIA LE PROFESSIONALITA' LAVORATIVE, OPERANDO UNA COMUNE AZIONE DI SOLLECITAZIONE NEI CONFRONTI DEL GOVERNO NAZIONALE, PRESENTATA DAL CONSIGLIERE CRITELLI ED ALTRI NELLA SEDUTA DEL 22 LUGLIO 2013 E APPROVATO ALL'UNANIMITA' DEI PRESENTI NEL CORSO DELLA SEDUTA STESSA";185947;2013;;"Segreteria Generale";"CRITELLI FRANCESCO";"ALDROVANDI STEFANO - 33986","BERNARDINI MANES - 32719","BUGANI MASSIMO - 33984","CAVIANO PASQUALE - 32714","FACCI MICHELE - 32712","LA TORRE CATHY - 33979","SALSI FEDERICA - 32861";
;"Delibera di Consiglio";29/07/2013;"ADEGUAMENTO DELL'AUTORIZZAZIONE ALLA SPESA PER L' APPALTO QUINQUENNALE DI MANUTENZIONE DEL PATRIMONIO VERDE COMUNALE PER IL PERIODO 1 MAGGIO 2014-30 APRILE 2019. IMPORTO COMPLESSIVO EURO 41.888.250=";142582;2013;31/07/2013;"Ambiente e Energia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/A5481D566FA8B39BC1257B860045234D?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"APPROVAZIONE DEGLI ESITI DELLA VERIFICA DI COERENZA DELLE MANIFESTAZIONI DI INTERESSE PERVENUTE A SEGUITO DELLA RIAPERTURA DEI TERMINI (ODG N. 95/2013 DEL 4 MARZO 2013) DELL'AVVISO PUBBLICO PER L'ELABORAZIONE DEL 'PROGRAMMA PER LA QUALIFICAZIONE URBANA' PER LE AREE RICOMPRESE IN AMBITI IN VIA DI CONSOLIDAMENTO DI CUI ALL'ARTICOLO 66 COMMA 1 DEL RUE.";148020;2013;31/07/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/875BA2F8BE0B4868C1257B8A003641B1?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"APPROVAZIONE DEL PROGRAMMA DEGLI INCARICHI E COLLABORAZIONI A PERSONE FISICHE PER L'ANNO 2013";152008;2013;31/07/2013;"Direzione Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/7EF88E4BEB5C7D8CC1257B8E004B90A0?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"AUTORIZZAZIONE ALLA SPESA DI EURO 4.010.250,00= PER L' APPALTO QUINQUENNALE DI GESTIONE, CONTROLLO E MANUTENZIONE DEGLI IMPIANTI SPECIALI (ANTINTRUSIONE, TV CIRCUITO CHIUSO, RILEVAZIONE INCENDI), INSTALLATI NEI FABBRICATI COMUNALI NONCHE' DEL SERVIZIO DI GESTIONE E MANUTENZIONE DELLA CENTRALE OPERATIVA E VIGILANZA PER IL PERIODO 01/01/2014 - 31/12/2018.";158225;2013;31/07/2013;"Edilizia pubblica e manutenzione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/FA7DC22EA38DB8C1C1257B9500302F7A?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"RIQUALIFICAZIONE DELLA FIERA DI SANTA LUCIA";179840;2013;31/07/2013;"Attività Produttive e Commercio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/E34E49BC31F4E419C1257B9B0027B1DE?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2013 E AL BILANCIO PLURIENNALE 2013-2015 PER MAGGIORI ENTRATE DALLO STATO E DALLA REGIONE PER: SPRAR, MINORI STRANIERI NON ACCOMPAGNATI, CONTRIBUTI LIBRI DI TESTO SCUOLE SECONDARIE ANNO SCOLASTICO 2012-2013;  VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2013 E AL BILANCIO PLURIENNALE 2013-2015 DELL'AREA, DEL SETTORE SALUTE SPORT E CITTA' SANA E DEI QUARTIERI A SEGUITO DELL'ANDAMENTO DELLA GESTIONE";172350;2013;31/07/2013;"Area Affari Istituzionali e Quartieri";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/741C0F1B2976367BC1257B9C0027164B?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"VARIAZIONE AL BILANCIO DI PREVISIONE PER L'ESERCIZIO 2013 E PLURIENNALE 2013-2015 - PARZIALE APPLICAZIONE DELL'AVANZO DI AMMINISTRAZIONE";168563;2013;31/07/2013;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/E127D70DF534CF33C1257B9D003E15DC?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"APPROVAZIONE AI FINI CONOSCITIVI DEL BILANCIO DI PREVISIONE DEL COMUNE PER L'ESERCIZIO 2013 E PLURIENNALE 2013 - 2015 DI CUI AL DPR 194/96.";177747;2013;31/07/2013;"Finanza e Bilancio";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/A0AF8D2E05ADAF0BC1257BA30045F989?OpenDocument"
;"Delibera di Consiglio";29/07/2013;"APPROVAZIONE MODIFICHE ALLO STATUTO DELLA SOCIETA' MISTA PER LA GESTIONE DEI SERVIZI CIMITERIALI - ''BOLOGNA SERVIZI CIMITERIALI SRL'' GIA' APPROVATO CON DELIBERAZIONE DEL CONSIGLIO PG 178744/2012.";180239;2013;31/07/2013;"Partecipazioni societarie";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/1B9CCB4BE93E88A8C1257BA90028889B?OpenDocument"
