Progressivo,Nominativo,Data,Gruppo,Presenza,Votazioni,Percentuale
16863.0,MEROLA VIRGINIO,2013-07-01,SINDACO,P,3.0,47.0
9076.0,MAZZANTI CLAUDIO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
29442.0,CRITELLI FRANCESCO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
32746.0,LEMBI SIMONA,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
15586.0,MARCHESINI ANGELO,2013-07-01,PARTITO DEMOCRATICO,P,3.0,47.0
9181.0,SANTI RAFFAELLA,2013-07-01,PARTITO DEMOCRATICO,P,4.0,62.0
32704.0,LAMA ROSSELLA,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
27410.0,FERRI MARIARAFFAELLA,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
27481.0,ZACCHIROLI BENEDETTO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
32794.0,MIGNANI MARIANNA,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
22034.0,GHETTI MAURIZIO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
33977.0,BENASSI MARZIA,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
33978.0,ERRANI FRANCESCO,2013-07-01,PARTITO DEMOCRATICO,A,0.0,0.0
27197.0,MELEGA CORRADO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
9097.0,PETRELLA TOMMASO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
33979.0,LA TORRE CATHY,2013-07-01,CON AMELIA PER BOLOGNA CON VENDOLA,P,5.0,78.0
33980.0,PIERALISI MIRCO,2013-07-01,CON AMELIA PER BOLOGNA CON VENDOLA,P,5.0,78.0
26392.0,CIPRIANI LORENZO,2013-07-01,CON AMELIA PER BOLOGNA CON VENDOLA,P,5.0,78.0
33987.0,SAZZINI LORENZO,2013-07-01,CON AMELIA PER BOLOGNA CON VENDOLA,P,3.0,47.0
32714.0,CAVIANO PASQUALE,2013-07-01,CENTRO DEMOCRATICO,P,5.0,78.0
21843.0,LISEI MARCO,2013-07-01,POPOLO DELLA LIBERTA,P,3.0,47.0
27208.0,TOMASSINI LORENZO,2013-07-01,POPOLO DELLA LIBERTA,P,5.0,78.0
32712.0,FACCI MICHELE,2013-07-01,POPOLO DELLA LIBERTA,P,5.0,78.0
27997.0,CASTALDINI VALENT.,2013-07-01,POPOLO DELLA LIBERTA,P,5.0,78.0
8904.0,CARELLA DANIELE,2013-07-01,POPOLO DELLA LIBERTA,P,5.0,78.0
20144.0,GATTUSO PATRIZIO G.,2013-07-01,POPOLO DELLA LIBERTA,P,5.0,78.0
32719.0,BERNARDINI MANES,2013-07-01,LEGA NORD,P,4.0,62.0
33981.0,COCCONCELLI MIRKA,2013-07-01,LEGA NORD,P,5.0,78.0
33982.0,SCARANO PAOLA F.,2013-07-01,LEGA NORD,P,4.0,62.0
33983.0,BORGONZONI LUCIA,2013-07-01,LEGA NORD,P,5.0,78.0
33984.0,BUGANI MASSIMO,2013-07-01,MOVIMENTO 5 STELLE,P,5.0,78.0
32861.0,SALSI FEDERICA,2013-07-01,GRUPPO MISTO,P,5.0,78.0
33985.0,PIAZZA MARCO,2013-07-01,MOVIMENTO 5 STELLE,P,5.0,78.0
33986.0,ALDROVANDI STEFANO,2013-07-01,BOLOGNA 2016,P,4.0,62.0
32708.0,TURCI DANIELA,2013-07-01,PARTITO DEMOCRATICO,A,0.0,0.0
0.0,DONDARINI ROLANDO,2013-07-01,PARTITO DEMOCRATICO,P,5.0,78.0
16863.0,MEROLA VIRGINIO,2013-09-02,SINDACO,P,3.0,17.0
9076.0,MAZZANTI CLAUDIO,2013-09-02,PARTITO DEMOCRATICO,P,10.0,56.0
29442.0,CRITELLI FRANCESCO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
32746.0,LEMBI SIMONA,2013-09-02,PARTITO DEMOCRATICO,P,13.0,73.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-09-02,PARTITO DEMOCRATICO,A,0.0,0.0
15586.0,MARCHESINI ANGELO,2013-09-02,PARTITO DEMOCRATICO,P,13.0,73.0
9181.0,SANTI RAFFAELLA,2013-09-02,PARTITO DEMOCRATICO,A,0.0,0.0
32704.0,LAMA ROSSELLA,2013-09-02,PARTITO DEMOCRATICO,P,13.0,73.0
27410.0,FERRI MARIARAFFAELLA,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
27481.0,ZACCHIROLI BENEDETTO,2013-09-02,PARTITO DEMOCRATICO,P,13.0,73.0
32794.0,MIGNANI MARIANNA,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
22034.0,GHETTI MAURIZIO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
33977.0,BENASSI MARZIA,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
33978.0,ERRANI FRANCESCO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
27197.0,MELEGA CORRADO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
9097.0,PETRELLA TOMMASO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
33979.0,LA TORRE CATHY,2013-09-02,CON AMELIA PER BOLOGNA CON VENDOLA,P,10.0,56.0
33980.0,PIERALISI MIRCO,2013-09-02,CON AMELIA PER BOLOGNA CON VENDOLA,P,13.0,73.0
26392.0,CIPRIANI LORENZO,2013-09-02,CON AMELIA PER BOLOGNA CON VENDOLA,P,14.0,79.0
33987.0,SAZZINI LORENZO,2013-09-02,CON AMELIA PER BOLOGNA CON VENDOLA,P,13.0,73.0
32714.0,CAVIANO PASQUALE,2013-09-02,CENTRO DEMOCRATICO,P,13.0,73.0
21843.0,LISEI MARCO,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
27208.0,TOMASSINI LORENZO,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
32712.0,FACCI MICHELE,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
27997.0,CASTALDINI VALENT.,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
8904.0,CARELLA DANIELE,2013-09-02,POPOLO DELLA LIBERTA,P,14.0,79.0
20144.0,GATTUSO PATRIZIO G.,2013-09-02,POPOLO DELLA LIBERTA,P,6.0,34.0
32719.0,BERNARDINI MANES,2013-09-02,LEGA NORD,P,14.0,79.0
33981.0,COCCONCELLI MIRKA,2013-09-02,LEGA NORD,P,14.0,79.0
33982.0,SCARANO PAOLA F.,2013-09-02,LEGA NORD,P,14.0,79.0
33983.0,BORGONZONI LUCIA,2013-09-02,LEGA NORD,A,0.0,0.0
33984.0,BUGANI MASSIMO,2013-09-02,MOVIMENTO 5 STELLE,P,14.0,79.0
32861.0,SALSI FEDERICA,2013-09-02,GRUPPO MISTO,P,14.0,79.0
33985.0,PIAZZA MARCO,2013-09-02,MOVIMENTO 5 STELLE,P,14.0,79.0
33986.0,ALDROVANDI STEFANO,2013-09-02,BOLOGNA 2016,P,14.0,79.0
32708.0,TURCI DANIELA,2013-09-02,PARTITO DEMOCRATICO,P,8.0,45.0
0.0,DONDARINI ROLANDO,2013-09-02,PARTITO DEMOCRATICO,P,14.0,79.0
16863.0,MEROLA VIRGINIO,2013-07-05,SINDACO,A,0.0,0.0
9076.0,MAZZANTI CLAUDIO,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
29442.0,CRITELLI FRANCESCO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32746.0,LEMBI SIMONA,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
27189.0,BARCELO LIZANA LEONARDO L.,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
15586.0,MARCHESINI ANGELO,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
9181.0,SANTI RAFFAELLA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32704.0,LAMA ROSSELLA,2013-07-05,PARTITO DEMOCRATICO,P,0.0,0.0
27410.0,FERRI MARIARAFFAELLA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
27481.0,ZACCHIROLI BENEDETTO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
32794.0,MIGNANI MARIANNA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
22034.0,GHETTI MAURIZIO,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
33977.0,BENASSI MARZIA,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
33978.0,ERRANI FRANCESCO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
27197.0,MELEGA CORRADO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
9097.0,PETRELLA TOMMASO,2013-07-05,PARTITO DEMOCRATICO,P,1.0,49.0
33979.0,LA TORRE CATHY,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
33980.0,PIERALISI MIRCO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,A,0.0,0.0
26392.0,CIPRIANI LORENZO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,1.0,49.0
33987.0,SAZZINI LORENZO,2013-07-05,CON AMELIA PER BOLOGNA CON VENDOLA,P,0.0,0.0
32714.0,CAVIANO PASQUALE,2013-07-05,CENTRO DEMOCRATICO,P,1.0,49.0
21843.0,LISEI MARCO,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
27208.0,TOMASSINI LORENZO,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
32712.0,FACCI MICHELE,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
27997.0,CASTALDINI VALENT.,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
8904.0,CARELLA DANIELE,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
20144.0,GATTUSO PATRIZIO G.,2013-07-05,POPOLO DELLA LIBERTA,P,1.0,49.0
32719.0,BERNARDINI MANES,2013-07-05,LEGA NORD,P,1.0,49.0
33981.0,COCCONCELLI MIRKA,2013-07-05,LEGA NORD,P,1.0,49.0
33982.0,SCARANO PAOLA F.,2013-07-05,LEGA NORD,P,1.0,49.0
33983.0,BORGONZONI LUCIA,2013-07-05,LEGA NORD,P,0.0,0.0
33984.0,BUGANI MASSIMO,2013-07-05,MOVIMENTO 5 STELLE,P,0.0,0.0
32861.0,SALSI FEDERICA,2013-07-05,GRUPPO MISTO,P,0.0,0.0
33985.0,PIAZZA MARCO,2013-07-05,MOVIMENTO 5 STELLE,P,1.0,49.0
33986.0,ALDROVANDI STEFANO,2013-07-05,BOLOGNA 2016,P,1.0,49.0
32708.0,TURCI DANIELA,2013-07-05,PARTITO DEMOCRATICO,A,0.0,0.0
