Progressivo,Nominativo,Data,GruppoPolitico,Presenza,NumVotazioni,PercentualePresenza
16863,MEROLA VIRGINIO,2012-10-01T00:00:00Z,SINDACO,A,0,0
9076,MAZZANTI CLAUDIO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
29442,CRITELLI FRANCESCO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
32746,LEMBI SIMONA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
27189,BARCELO LIZANA LEONARDO L,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,6,54
15586,MARCHESINI ANGELO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,7,63
18313,LO GIUDICE SERGIO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
9181,SANTI RAFFAELLA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,4,36
32704,LAMA ROSSELLA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
27410,FERRI MARIARAFFAELLA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
27481,ZACCHIROLI BENEDETTO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,7,63
32794,MIGNANI MARIANNA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,8,72
22034,GHETTI MAURIZIO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
33977,BENASSI MARZIA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
33978,ERRANI FRANCESCO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
27197,MELEGA CORRADO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
9097,PETRELLA TOMMASO,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,9,81
33979,LA TORRE CATHY,2012-10-01T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,2,18
33980,PIERALISI MIRCO,2012-10-01T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,8,72
26392,CIPRIANI LORENZO,2012-10-01T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,9,81
33987,SAZZINI LORENZO,2012-10-01T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,4,36
32714,CAVIANO PASQUALE,2012-10-01T00:00:00Z,ITALIA DEI VALORI,P,9,81
21843,LISEI MARCO,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,0,0
27208,TOMASSINI LORENZO,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,9,81
32712,FACCI MICHELE,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,5,45
27997,CASTALDINI VALENT.,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,8,72
8904,CARELLA DANIELE,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,9,81
20144,GATTUSO PATRIZIO G.,2012-10-01T00:00:00Z,POPOLO DELLA LIBERTA,P,9,81
32719,BERNARDINI MANES,2012-10-01T00:00:00Z,LEGA NORD,P,4,36
33981,COCCONCELLI MIRKA,2012-10-01T00:00:00Z,LEGA NORD,P,7,63
33982,SCARANO PAOLA F.,2012-10-01T00:00:00Z,LEGA NORD,P,9,81
33983,BORGONZONI LUCIA,2012-10-01T00:00:00Z,LEGA NORD,P,9,81
33984,BUGANI MASSIMO,2012-10-01T00:00:00Z,MOVIMENTO 5 STELLE,P,8,72
32861,SALSI FEDERICA,2012-10-01T00:00:00Z,MOVIMENTO 5 STELLE,P,7,63
33985,PIAZZA MARCO,2012-10-01T00:00:00Z,MOVIMENTO 5 STELLE,P,9,81
33986,ALDROVANDI STEFANO,2012-10-01T00:00:00Z,BOLOGNA 2016,P,9,81
32708,TURCI DANIELA,2012-10-01T00:00:00Z,PARTITO DEMOCRATICO,P,4,36
16863,MEROLA VIRGINIO,2012-11-05T00:00:00Z,SINDACO,A,0,0
9076,MAZZANTI CLAUDIO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
29442,CRITELLI FRANCESCO,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
32746,LEMBI SIMONA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
