Progressivo,Nominativo,Data,Gruppo Politico,Presenza,Num.Votazioni
16863,MEROLA VIRGINIO,2013-04-03T00:00:00Z,SINDACO,P,0
9076,MAZZANTI CLAUDIO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
29442,CRITELLI FRANCESCO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
32746,LEMBI SIMONA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
27189,BARCELO LIZANA LEONARDO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
15586,MARCHESINI ANGELO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,8
9181,SANTI RAFFAELLA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,8
32704,LAMA ROSSELLA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
27410,FERRI MARIARAFFAELLA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
27481,ZACCHIROLI BENEDETTO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
32794,MIGNANI MARIANNA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
22034,GHETTI MAURIZIO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
33977,BENASSI MARZIA,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,9
33978,ERRANI FRANCESCO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,A,0
27197,MELEGA CORRADO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
9097,PETRELLA TOMMASO,2013-04-03T00:00:00Z,PARTITO DEMOCRATICO,P,10
33979,LA TORRE CATHY,2013-04-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,8
33980,PIERALISI MIRCO,2013-04-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,10
26392,CIPRIANI LORENZO,2013-04-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,9
33987,SAZZINI LORENZO,2013-04-03T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,1
32714,CAVIANO PASQUALE,2013-04-03T00:00:00Z,CENTRO DEMOCRATICO,P,10
21843,LISEI MARCO,2013-04-03T00:00:00Z,POPOLO DELLA LIBERTA,P,10
