"Progressivo";"Nominativo";"Data Seduta";"Gruppo Politico";"Presenza";"Num.Votazioni";"Percentuale presenza alle votazioni";"Note"
"16863";"MEROLA VIRGINIO";"01/02/2013";"SINDACO";"A";0;"0  ";"Nel primo trimestre 2013 non è stata conteggiata la seduta straordinaria del 19 marzo in quanto non è stato attivato il sistema di voto"
"9076";"MAZZANTI CLAUDIO";"01/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";"Nella somma delle sedute dei consiglieri Lo Giudice e Dondarini manca la seduta di Question Time del 15 marzo 2013, in cui il consigliere Lo Giudice era già dimissionario e il consigliere Dondarini non era ancora in carica."
"29442";"CRITELLI FRANCESCO";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"01/02/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"27189";"BARCELO' LIZANA LEONARDO L.";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"15586";"MARCHESINI ANGELO";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"18313";"LO GIUDICE SERGIO";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"9181";"SANTI RAFFAELLA";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32704";"LAMA ROSSELLA";"01/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"01/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27481";"ZACCHIROLI BENEDETTO";"01/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32794";"MIGNANI MARIANNA";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"22034";"GHETTI MAURIZIO";"01/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"33977";"BENASSI MARZIA";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33978";"ERRANI FRANCESCO";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"01/02/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
