Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"16863";"MEROLA VIRGINIO";02/07/2012;"SINDACO";"P";0;0  
"9076";"MAZZANTI CLAUDIO";02/07/2012;"PARTITO DEMOCRATICO";"P";6;54 
"29442";"CRITELLI FRANCESCO";02/07/2012;"PARTITO DEMOCRATICO";"P";8;72 
"32746";"LEMBI SIMONA";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"27189";"BARCELO' LIZANA LEONARDO L.";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"15586";"MARCHESINI ANGELO";02/07/2012;"PARTITO DEMOCRATICO";"P";2;18 
"18313";"LO GIUDICE SERGIO";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"9181";"SANTI RAFFAELLA";02/07/2012;"PARTITO DEMOCRATICO";"P";3;27 
"32704";"LAMA ROSSELLA";02/07/2012;"PARTITO DEMOCRATICO";"P";6;54 
"27410";"FERRI MARIARAFFAELLA";02/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27481";"ZACCHIROLI BENEDETTO";02/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"32794";"MIGNANI MARIANNA";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"22034";"GHETTI MAURIZIO";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"33977";"BENASSI MARZIA";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"33978";"ERRANI FRANCESCO";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"27197";"MELEGA CORRADO";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"9097";"PETRELLA TOMMASO";02/07/2012;"PARTITO DEMOCRATICO";"P";9;81 
"33979";"LA TORRE CATHY";02/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;27 
"33980";"PIERALISI MIRCO";02/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;63 
"26392";"CIPRIANI LORENZO";02/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;63 
"33987";"SAZZINI LORENZO";02/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;63 
"32714";"CAVIANO PASQUALE";02/07/2012;"ITALIA DEI VALORI";"P";9;81 
"21843";"LISEI MARCO";02/07/2012;"POPOLO DELLA LIBERTA'";"P";0;0  
"27208";"TOMASSINI LORENZO";02/07/2012;"POPOLO DELLA LIBERTA'";"P";9;81 
"32712";"FACCI MICHELE";02/07/2012;"POPOLO DELLA LIBERTA'";"P";6;54 
"27997";"CASTALDINI VALENT.";02/07/2012;"POPOLO DELLA LIBERTA'";"P";4;36 
"8904";"CARELLA DANIELE";02/07/2012;"POPOLO DELLA LIBERTA'";"P";9;81 
"20144";"GATTUSO PATRIZIO G.";02/07/2012;"POPOLO DELLA LIBERTA'";"P";4;36 
"32719";"BERNARDINI MANES";02/07/2012;"LEGA NORD";"P";6;54 
"33981";"COCCONCELLI MIRKA";02/07/2012;"LEGA NORD";"P";9;81 
"33982";"SCARANO PAOLA F.";02/07/2012;"LEGA NORD";"P";9;81 
"33983";"BORGONZONI LUCIA";02/07/2012;"LEGA NORD";"P";9;81 
"33984";"BUGANI MASSIMO";02/07/2012;"MOVIMENTO 5 STELLE";"P";8;72 
"32861";"SALSI FEDERICA";02/07/2012;"MOVIMENTO 5 STELLE";"P";8;72 
"33985";"PIAZZA MARCO";02/07/2012;"MOVIMENTO 5 STELLE";"P";9;81 
"33986";"ALDROVANDI STEFANO";02/07/2012;"BOLOGNA 2016";"P";7;63 
"32708";"TURCI DANIELA";02/07/2012;"PARTITO DEMOCRATICO";"P";5;45 
"16863";"MEROLA VIRGINIO";03/09/2012;"SINDACO";"P";0;0  
"9076";"MAZZANTI CLAUDIO";03/09/2012;"PARTITO DEMOCRATICO";"P";2;48 
"29442";"CRITELLI FRANCESCO";03/09/2012;"PARTITO DEMOCRATICO";"A";0;0  
"32746";"LEMBI SIMONA";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"27189";"BARCELO' LIZANA LEONARDO L.";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"15586";"MARCHESINI ANGELO";03/09/2012;"PARTITO DEMOCRATICO";"P";1;24 
"18313";"LO GIUDICE SERGIO";03/09/2012;"PARTITO DEMOCRATICO";"P";2;48 
"9181";"SANTI RAFFAELLA";03/09/2012;"PARTITO DEMOCRATICO";"P";2;48 
"32704";"LAMA ROSSELLA";03/09/2012;"PARTITO DEMOCRATICO";"P";1;24 
"27410";"FERRI MARIARAFFAELLA";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"27481";"ZACCHIROLI BENEDETTO";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"32794";"MIGNANI MARIANNA";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"22034";"GHETTI MAURIZIO";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"33977";"BENASSI MARZIA";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"33978";"ERRANI FRANCESCO";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"27197";"MELEGA CORRADO";03/09/2012;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";03/09/2012;"PARTITO DEMOCRATICO";"P";3;72 
"33979";"LA TORRE CATHY";03/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;24 
"33980";"PIERALISI MIRCO";03/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";2;48 
"26392";"CIPRIANI LORENZO";03/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;72 
"33987";"SAZZINI LORENZO";03/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";3;72 
"32714";"CAVIANO PASQUALE";03/09/2012;"ITALIA DEI VALORI";"P";3;72 
"21843";"LISEI MARCO";03/09/2012;"POPOLO DELLA LIBERTA'";"P";3;72 
"27208";"TOMASSINI LORENZO";03/09/2012;"POPOLO DELLA LIBERTA'";"P";3;72 
"32712";"FACCI MICHELE";03/09/2012;"POPOLO DELLA LIBERTA'";"A";0;0  
"27997";"CASTALDINI VALENT.";03/09/2012;"POPOLO DELLA LIBERTA'";"P";2;48 
"8904";"CARELLA DANIELE";03/09/2012;"POPOLO DELLA LIBERTA'";"P";3;72 
"20144";"GATTUSO PATRIZIO G.";03/09/2012;"POPOLO DELLA LIBERTA'";"P";3;72 
"32719";"BERNARDINI MANES";03/09/2012;"LEGA NORD";"P";0;0  
"33981";"COCCONCELLI MIRKA";03/09/2012;"LEGA NORD";"P";3;72 
"33982";"SCARANO PAOLA F.";03/09/2012;"LEGA NORD";"P";3;72 
"33983";"BORGONZONI LUCIA";03/09/2012;"LEGA NORD";"P";3;72 
"33984";"BUGANI MASSIMO";03/09/2012;"MOVIMENTO 5 STELLE";"P";1;24 
"32861";"SALSI FEDERICA";03/09/2012;"MOVIMENTO 5 STELLE";"P";2;48 
"33985";"PIAZZA MARCO";03/09/2012;"MOVIMENTO 5 STELLE";"P";1;24 
"33986";"ALDROVANDI STEFANO";03/09/2012;"BOLOGNA 2016";"P";3;72 
"32708";"TURCI DANIELA";03/09/2012;"PARTITO DEMOCRATICO";"P";2;48 
"16863";"MEROLA VIRGINIO";06/07/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";06/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27189";"BARCELO' LIZANA LEONARDO L.";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"18313";"LO GIUDICE SERGIO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9181";"SANTI RAFFAELLA";06/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";06/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";06/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27481";"ZACCHIROLI BENEDETTO";06/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32794";"MIGNANI MARIANNA";06/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"22034";"GHETTI MAURIZIO";06/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"33977";"BENASSI MARZIA";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";06/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27197";"MELEGA CORRADO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9097";"PETRELLA TOMMASO";06/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";06/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"33980";"PIERALISI MIRCO";06/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"26392";"CIPRIANI LORENZO";06/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"33987";"SAZZINI LORENZO";06/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"32714";"CAVIANO PASQUALE";06/07/2012;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";06/07/2012;"POPOLO DELLA LIBERTA'";"P";0;0  
"27208";"TOMASSINI LORENZO";06/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32712";"FACCI MICHELE";06/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";06/07/2012;"POPOLO DELLA LIBERTA'";"A";0;0  
"8904";"CARELLA DANIELE";06/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";06/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";06/07/2012;"LEGA NORD";"P";0;0  
"33981";"COCCONCELLI MIRKA";06/07/2012;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";06/07/2012;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";06/07/2012;"LEGA NORD";"P";0;0  
"33984";"BUGANI MASSIMO";06/07/2012;"MOVIMENTO 5 STELLE";"P";0;0  
"32861";"SALSI FEDERICA";06/07/2012;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";06/07/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";06/07/2012;"BOLOGNA 2016";"A";0;0  
"32708";"TURCI DANIELA";06/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"16863";"MEROLA VIRGINIO";07/09/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"18313";"LO GIUDICE SERGIO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9181";"SANTI RAFFAELLA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32704";"LAMA ROSSELLA";07/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27481";"ZACCHIROLI BENEDETTO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";07/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"33978";"ERRANI FRANCESCO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27197";"MELEGA CORRADO";07/09/2012;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";07/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";07/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"26392";"CIPRIANI LORENZO";07/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"33987";"SAZZINI LORENZO";07/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"32714";"CAVIANO PASQUALE";07/09/2012;"ITALIA DEI VALORI";"A";0;0  
"21843";"LISEI MARCO";07/09/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"27208";"TOMASSINI LORENZO";07/09/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32712";"FACCI MICHELE";07/09/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";07/09/2012;"POPOLO DELLA LIBERTA'";"P";0;0  
"8904";"CARELLA DANIELE";07/09/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";07/09/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";07/09/2012;"LEGA NORD";"P";1;49 
"33981";"COCCONCELLI MIRKA";07/09/2012;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";07/09/2012;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";07/09/2012;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";07/09/2012;"MOVIMENTO 5 STELLE";"A";0;0  
"32861";"SALSI FEDERICA";07/09/2012;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";07/09/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";07/09/2012;"BOLOGNA 2016";"A";0;0  
"32708";"TURCI DANIELA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"16863";"MEROLA VIRGINIO";09/07/2012;"SINDACO";"P";0;0  
"9076";"MAZZANTI CLAUDIO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"29442";"CRITELLI FRANCESCO";09/07/2012;"PARTITO DEMOCRATICO";"P";6;40 
"32746";"LEMBI SIMONA";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27189";"BARCELO' LIZANA LEONARDO L.";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"15586";"MARCHESINI ANGELO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"18313";"LO GIUDICE SERGIO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"9181";"SANTI RAFFAELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";10;66 
"32704";"LAMA ROSSELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";8;53 
"27410";"FERRI MARIARAFFAELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"27481";"ZACCHIROLI BENEDETTO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"32794";"MIGNANI MARIANNA";09/07/2012;"PARTITO DEMOCRATICO";"P";6;40 
"22034";"GHETTI MAURIZIO";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33977";"BENASSI MARZIA";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33978";"ERRANI FRANCESCO";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27197";"MELEGA CORRADO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"9097";"PETRELLA TOMMASO";09/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"33979";"LA TORRE CATHY";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;46 
"33980";"PIERALISI MIRCO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;60 
"26392";"CIPRIANI LORENZO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";5;33 
"33987";"SAZZINI LORENZO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;40 
"32714";"CAVIANO PASQUALE";09/07/2012;"ITALIA DEI VALORI";"P";8;53 
"21843";"LISEI MARCO";09/07/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"27208";"TOMASSINI LORENZO";09/07/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"32712";"FACCI MICHELE";09/07/2012;"POPOLO DELLA LIBERTA'";"P";6;40 
"27997";"CASTALDINI VALENT.";09/07/2012;"POPOLO DELLA LIBERTA'";"P";5;33 
"8904";"CARELLA DANIELE";09/07/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"20144";"GATTUSO PATRIZIO G.";09/07/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"32719";"BERNARDINI MANES";09/07/2012;"LEGA NORD";"P";5;33 
"33981";"COCCONCELLI MIRKA";09/07/2012;"LEGA NORD";"P";12;80 
"33982";"SCARANO PAOLA F.";09/07/2012;"LEGA NORD";"P";12;80 
"33983";"BORGONZONI LUCIA";09/07/2012;"LEGA NORD";"P";11;73 
"33984";"BUGANI MASSIMO";09/07/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"32861";"SALSI FEDERICA";09/07/2012;"MOVIMENTO 5 STELLE";"P";11;73 
"33985";"PIAZZA MARCO";09/07/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"33986";"ALDROVANDI STEFANO";09/07/2012;"BOLOGNA 2016";"P";5;33 
"32708";"TURCI DANIELA";09/07/2012;"PARTITO DEMOCRATICO";"P";5;33 
"16863";"MEROLA VIRGINIO";10/09/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"29442";"CRITELLI FRANCESCO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"32746";"LEMBI SIMONA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27189";"BARCELO' LIZANA LEONARDO L.";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"15586";"MARCHESINI ANGELO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"18313";"LO GIUDICE SERGIO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"9181";"SANTI RAFFAELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";7;46 
"32704";"LAMA ROSSELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";9;60 
"27410";"FERRI MARIARAFFAELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27481";"ZACCHIROLI BENEDETTO";10/09/2012;"PARTITO DEMOCRATICO";"P";10;66 
"32794";"MIGNANI MARIANNA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"22034";"GHETTI MAURIZIO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33977";"BENASSI MARZIA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
