Progressivo,Data,Presenza,Votazioni,Percentuale
16863,2013-07-01,P,3,47
9076,2013-07-01,P,5,78
29442,2013-07-01,P,5,78
32746,2013-07-01,P,5,78
27189,2013-07-01,P,5,78
15586,2013-07-01,P,3,47
9181,2013-07-01,P,4,62
32704,2013-07-01,P,5,78
27410,2013-07-01,P,5,78
27481,2013-07-01,P,5,78
32794,2013-07-01,P,5,78
22034,2013-07-01,P,5,78
33977,2013-07-01,P,5,78
33978,2013-07-01,A,0,0
27197,2013-07-01,P,5,78
9097,2013-07-01,P,5,78
33979,2013-07-01,P,5,78
33980,2013-07-01,P,5,78
26392,2013-07-01,P,5,78
33987,2013-07-01,P,3,47
32714,2013-07-01,P,5,78
21843,2013-07-01,P,3,47
27208,2013-07-01,P,5,78
32712,2013-07-01,P,5,78
27997,2013-07-01,P,5,78
8904,2013-07-01,P,5,78
20144,2013-07-01,P,5,78
32719,2013-07-01,P,4,62
33981,2013-07-01,P,5,78
33982,2013-07-01,P,4,62
33983,2013-07-01,P,5,78
33984,2013-07-01,P,5,78
32861,2013-07-01,P,5,78
33985,2013-07-01,P,5,78
33986,2013-07-01,P,4,62
32708,2013-07-01,A,0,0
0,2013-07-01,P,5,78
16863,2013-09-02,P,3,17
9076,2013-09-02,P,10,56
29442,2013-09-02,P,14,79
32746,2013-09-02,P,13,73
27189,2013-09-02,A,0,0
15586,2013-09-02,P,13,73
9181,2013-09-02,A,0,0
32704,2013-09-02,P,13,73
27410,2013-09-02,P,14,79
27481,2013-09-02,P,13,73
32794,2013-09-02,P,14,79
22034,2013-09-02,P,14,79
33977,2013-09-02,P,14,79
33978,2013-09-02,P,14,79
27197,2013-09-02,P,14,79
9097,2013-09-02,P,14,79
33979,2013-09-02,P,10,56
33980,2013-09-02,P,13,73
26392,2013-09-02,P,14,79
33987,2013-09-02,P,13,73
32714,2013-09-02,P,13,73
21843,2013-09-02,P,14,79
27208,2013-09-02,P,14,79
32712,2013-09-02,P,14,79
27997,2013-09-02,P,14,79
8904,2013-09-02,P,14,79
20144,2013-09-02,P,6,34
32719,2013-09-02,P,14,79
33981,2013-09-02,P,14,79
33982,2013-09-02,P,14,79
33983,2013-09-02,A,0,0
33984,2013-09-02,P,14,79
32861,2013-09-02,P,14,79
33985,2013-09-02,P,14,79
33986,2013-09-02,P,14,79
32708,2013-09-02,P,8,45
0,2013-09-02,P,14,79
16863,2013-07-05,A,0,0
9076,2013-07-05,P,0,0
29442,2013-07-05,P,1,49
32746,2013-07-05,A,0,0
27189,2013-07-05,P,1,49
15586,2013-07-05,P,0,0
9181,2013-07-05,P,1,49
32704,2013-07-05,P,0,0
27410,2013-07-05,P,1,49
27481,2013-07-05,P,1,49
32794,2013-07-05,P,1,49
22034,2013-07-05,A,0,0
33977,2013-07-05,P,1,49
33978,2013-07-05,P,1,49
27197,2013-07-05,P,1,49
9097,2013-07-05,P,1,49
33979,2013-07-05,P,0,0
33980,2013-07-05,A,0,0
26392,2013-07-05,P,1,49
33987,2013-07-05,P,0,0
32714,2013-07-05,P,1,49
21843,2013-07-05,P,1,49
27208,2013-07-05,P,1,49
32712,2013-07-05,P,1,49
27997,2013-07-05,P,1,49
8904,2013-07-05,P,1,49
20144,2013-07-05,P,1,49
32719,2013-07-05,P,1,49
33981,2013-07-05,P,1,49
33982,2013-07-05,P,1,49
33983,2013-07-05,P,0,0
33984,2013-07-05,P,0,0
32861,2013-07-05,P,0,0
33985,2013-07-05,P,1,49
33986,2013-07-05,P,1,49
32708,2013-07-05,A,0,0
0,2013-07-05,P,1,49
16863,2013-09-06,A,0,0
9076,2013-09-06,P,1,49
29442,2013-09-06,P,1,49
32746,2013-09-06,P,0,0
27189,2013-09-06,A,0,0
15586,2013-09-06,P,1,49
9181,2013-09-06,A,0,0
32704,2013-09-06,P,0,0
27410,2013-09-06,P,1,49
27481,2013-09-06,P,0,0
32794,2013-09-06,P,1,49
22034,2013-09-06,P,0,0
33977,2013-09-06,P,1,49
33978,2013-09-06,P,1,49
27197,2013-09-06,A,0,0
9097,2013-09-06,P,1,49
33979,2013-09-06,P,0,0
33980,2013-09-06,P,0,0
26392,2013-09-06,P,1,49
33987,2013-09-06,P,0,0
32714,2013-09-06,P,1,49
21843,2013-09-06,P,1,49
27208,2013-09-06,P,1,49
32712,2013-09-06,A,0,0
27997,2013-09-06,P,1,49
8904,2013-09-06,P,1,49
20144,2013-09-06,P,1,49
32719,2013-09-06,P,1,49
33981,2013-09-06,P,0,0
33982,2013-09-06,P,1,49
33983,2013-09-06,A,0,0
33984,2013-09-06,P,0,0
32861,2013-09-06,P,0,0
33985,2013-09-06,P,1,49
33986,2013-09-06,P,1,49
32708,2013-09-06,P,0,0
0,2013-09-06,P,1,49
16863,2013-07-08,P,5,33
9076,2013-07-08,P,11,73
29442,2013-07-08,P,12,80
32746,2013-07-08,P,11,73
27189,2013-07-08,P,11,73
15586,2013-07-08,P,7,46
9181,2013-07-08,P,12,80
32704,2013-07-08,P,10,66
27410,2013-07-08,P,10,66
27481,2013-07-08,P,11,73
32794,2013-07-08,P,12,80
22034,2013-07-08,P,12,80
33977,2013-07-08,P,12,80
33978,2013-07-08,P,7,46
27197,2013-07-08,A,0,0
9097,2013-07-08,A,0,0
33979,2013-07-08,P,7,46
33980,2013-07-08,P,10,66
26392,2013-07-08,P,11,73
33987,2013-07-08,P,8,53
32714,2013-07-08,P,11,73
21843,2013-07-08,P,10,66
27208,2013-07-08,P,7,46
32712,2013-07-08,P,9,60
27997,2013-07-08,P,10,66
8904,2013-07-08,P,12,80
20144,2013-07-08,P,11,73
32719,2013-07-08,P,11,73
33981,2013-07-08,P,12,80
33982,2013-07-08,P,12,80
33983,2013-07-08,P,9,60
33984,2013-07-08,P,12,80
32861,2013-07-08,P,7,46
33985,2013-07-08,P,12,80
33986,2013-07-08,P,10,66
32708,2013-07-08,P,9,60
0,2013-07-08,P,7,46
16863,2013-09-09,A,0,0
9076,2013-09-09,P,10,80
29442,2013-09-09,P,10,80
32746,2013-09-09,P,9,72
27189,2013-09-09,A,0,0
15586,2013-09-09,P,8,64
9181,2013-09-09,A,0,0
32704,2013-09-09,P,10,80
27410,2013-09-09,P,9,72
27481,2013-09-09,P,9,72
32794,2013-09-09,P,10,80
22034,2013-09-09,P,9,72
33977,2013-09-09,P,9,72
33978,2013-09-09,P,7,56
27197,2013-09-09,P,9,72
9097,2013-09-09,P,10,80
33979,2013-09-09,A,0,0
33980,2013-09-09,P,9,72
26392,2013-09-09,P,9,72
33987,2013-09-09,P,9,72
32714,2013-09-09,P,9,72
21843,2013-09-09,P,9,72
27208,2013-09-09,P,9,72
32712,2013-09-09,A,0,0
27997,2013-09-09,P,9,72
8904,2013-09-09,P,10,80
20144,2013-09-09,P,10,80
32719,2013-09-09,P,9,72
33981,2013-09-09,P,10,80
33982,2013-09-09,P,9,72
33983,2013-09-09,P,9,72
33984,2013-09-09,P,9,72
32861,2013-09-09,P,8,64
33985,2013-09-09,P,10,80
33986,2013-09-09,P,5,40
32708,2013-09-09,A,0,0
0,2013-09-09,P,9,72
16863,2013-07-12,A,0,0
9076,2013-07-12,P,0,0
29442,2013-07-12,A,0,0
32746,2013-07-12,P,1,49
27189,2013-07-12,P,1,49
15586,2013-07-12,P,0,0
9181,2013-07-12,P,1,49
32704,2013-07-12,P,0,0
27410,2013-07-12,P,1,49
27481,2013-07-12,P,0,0
32794,2013-07-12,P,1,49
22034,2013-07-12,P,0,0
33977,2013-07-12,P,1,49
33978,2013-07-12,P,0,0
27197,2013-07-12,A,0,0
9097,2013-07-12,A,0,0
33979,2013-07-12,A,0,0
33980,2013-07-12,P,0,0
26392,2013-07-12,P,1,49
33987,2013-07-12,P,1,49
32714,2013-07-12,P,1,49
21843,2013-07-12,P,1,49
27208,2013-07-12,P,1,49
32712,2013-07-12,P,1,49
27997,2013-07-12,P,0,0
8904,2013-07-12,P,1,49
20144,2013-07-12,P,0,0
32719,2013-07-12,P,1,49
33981,2013-07-12,P,0,0
33982,2013-07-12,P,0,0
33983,2013-07-12,P,1,49
33984,2013-07-12,P,0,0
32861,2013-07-12,P,0,0
33985,2013-07-12,P,0,0
33986,2013-07-12,P,0,0
32708,2013-07-12,P,1,49
0,2013-07-12,A,0,0
16863,2013-09-13,A,0,0
9076,2013-09-13,P,0,0
29442,2013-09-13,P,1,49
32746,2013-09-13,P,0,0
27189,2013-09-13,A,0,0
15586,2013-09-13,P,0,0
9181,2013-09-13,A,0,0
32704,2013-09-13,P,0,0
27410,2013-09-13,P,0,0
27481,2013-09-13,P,0,0
32794,2013-09-13,P,1,49
22034,2013-09-13,P,0,0
33977,2013-09-13,P,1,49
33978,2013-09-13,P,1,49
27197,2013-09-13,P,1,49
9097,2013-09-13,P,1,49
33979,2013-09-13,P,1,49
33980,2013-09-13,P,1,49
