Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
16863;MEROLA VIRGINIO;01/10/2012;SINDACO;A;0;0
9076;MAZZANTI CLAUDIO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
29442;CRITELLI FRANCESCO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
32746;LEMBI SIMONA;01/10/2012;PARTITO DEMOCRATICO;P;9;81
27189;'BARCELO'' LIZANA LEONARDO L.';01/10/2012;PARTITO DEMOCRATICO;P;6;54
15586;MARCHESINI ANGELO;01/10/2012;PARTITO DEMOCRATICO;P;7;63
18313;LO GIUDICE SERGIO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
9181;SANTI RAFFAELLA;01/10/2012;PARTITO DEMOCRATICO;P;4;36
32704;LAMA ROSSELLA;01/10/2012;PARTITO DEMOCRATICO;A;0;0
27410;FERRI MARIARAFFAELLA;01/10/2012;PARTITO DEMOCRATICO;P;9;81
27481;ZACCHIROLI BENEDETTO;01/10/2012;PARTITO DEMOCRATICO;P;7;63
32794;MIGNANI MARIANNA;01/10/2012;PARTITO DEMOCRATICO;P;8;72
22034;GHETTI MAURIZIO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
33977;BENASSI MARZIA;01/10/2012;PARTITO DEMOCRATICO;P;9;81
33978;ERRANI FRANCESCO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
27197;MELEGA CORRADO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
9097;PETRELLA TOMMASO;01/10/2012;PARTITO DEMOCRATICO;P;9;81
33979;LA TORRE CATHY;01/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;2;18
33980;PIERALISI MIRCO;01/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;8;72
26392;CIPRIANI LORENZO;01/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;9;81
33987;SAZZINI LORENZO;01/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;4;36
32714;CAVIANO PASQUALE;01/10/2012;ITALIA DEI VALORI;P;9;81
21843;LISEI MARCO;01/10/2012;'POPOLO DELLA LIBERTA''';P;0;0
27208;TOMASSINI LORENZO;01/10/2012;'POPOLO DELLA LIBERTA''';P;9;81
32712;FACCI MICHELE;01/10/2012;'POPOLO DELLA LIBERTA''';P;5;45
27997;CASTALDINI VALENT.;01/10/2012;'POPOLO DELLA LIBERTA''';P;8;72
8904;CARELLA DANIELE;01/10/2012;'POPOLO DELLA LIBERTA''';P;9;81
20144;GATTUSO PATRIZIO G.;01/10/2012;'POPOLO DELLA LIBERTA''';P;9;81
32719;BERNARDINI MANES;01/10/2012;LEGA NORD;P;4;36
33981;COCCONCELLI MIRKA;01/10/2012;LEGA NORD;P;7;63
33982;SCARANO PAOLA F.;01/10/2012;LEGA NORD;P;9;81
33983;BORGONZONI LUCIA;01/10/2012;LEGA NORD;P;9;81
33984;BUGANI MASSIMO;01/10/2012;MOVIMENTO 5 STELLE;P;8;72
32861;SALSI FEDERICA;01/10/2012;MOVIMENTO 5 STELLE;P;7;63
33985;PIAZZA MARCO;01/10/2012;MOVIMENTO 5 STELLE;P;9;81
33986;ALDROVANDI STEFANO;01/10/2012;BOLOGNA 2016;P;9;81
32708;TURCI DANIELA;01/10/2012;PARTITO DEMOCRATICO;P;4;36
16863;MEROLA VIRGINIO;05/11/2012;SINDACO;A;0;0
9076;MAZZANTI CLAUDIO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
29442;CRITELLI FRANCESCO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
32746;LEMBI SIMONA;05/11/2012;PARTITO DEMOCRATICO;A;0;0
27189;'BARCELO'' LIZANA LEONARDO L.';05/11/2012;PARTITO DEMOCRATICO;P;1;49
15586;MARCHESINI ANGELO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
18313;LO GIUDICE SERGIO;05/11/2012;PARTITO DEMOCRATICO;P;0;0
9181;SANTI RAFFAELLA;05/11/2012;PARTITO DEMOCRATICO;P;1;49
32704;LAMA ROSSELLA;05/11/2012;PARTITO DEMOCRATICO;P;0;0
27410;FERRI MARIARAFFAELLA;05/11/2012;PARTITO DEMOCRATICO;P;1;49
27481;ZACCHIROLI BENEDETTO;05/11/2012;PARTITO DEMOCRATICO;P;0;0
32794;MIGNANI MARIANNA;05/11/2012;PARTITO DEMOCRATICO;P;0;0
22034;GHETTI MAURIZIO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
33977;BENASSI MARZIA;05/11/2012;PARTITO DEMOCRATICO;P;1;49
33978;ERRANI FRANCESCO;05/11/2012;PARTITO DEMOCRATICO;A;0;0
27197;MELEGA CORRADO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
9097;PETRELLA TOMMASO;05/11/2012;PARTITO DEMOCRATICO;P;1;49
33979;LA TORRE CATHY;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
33980;PIERALISI MIRCO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
26392;CIPRIANI LORENZO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
33987;SAZZINI LORENZO;05/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
32714;CAVIANO PASQUALE;05/11/2012;ITALIA DEI VALORI;P;1;49
21843;LISEI MARCO;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
27208;TOMASSINI LORENZO;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
32712;FACCI MICHELE;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
27997;CASTALDINI VALENT.;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
8904;CARELLA DANIELE;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
20144;GATTUSO PATRIZIO G.;05/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
32719;BERNARDINI MANES;05/11/2012;LEGA NORD;P;0;0
33981;COCCONCELLI MIRKA;05/11/2012;LEGA NORD;P;1;49
33982;SCARANO PAOLA F.;05/11/2012;LEGA NORD;P;1;49
33983;BORGONZONI LUCIA;05/11/2012;LEGA NORD;P;1;49
33984;BUGANI MASSIMO;05/11/2012;MOVIMENTO 5 STELLE;P;1;49
32861;SALSI FEDERICA;05/11/2012;MOVIMENTO 5 STELLE;A;0;0
33985;PIAZZA MARCO;05/11/2012;MOVIMENTO 5 STELLE;A;0;0
33986;ALDROVANDI STEFANO;05/11/2012;BOLOGNA 2016;A;0;0
32708;TURCI DANIELA;05/11/2012;PARTITO DEMOCRATICO;P;1;49
16863;MEROLA VIRGINIO;03/12/2012;SINDACO;A;0;0
9116;CEVENINI MAURIZIO;03/12/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;03/12/2012;PARTITO DEMOCRATICO;P;11;80
29442;CRITELLI FRANCESCO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
32746;LEMBI SIMONA;03/12/2012;PARTITO DEMOCRATICO;P;11;80
27189;'BARCELO'' LIZANA LEONARDO L.';03/12/2012;PARTITO DEMOCRATICO;P;10;73
15586;MARCHESINI ANGELO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
18313;LO GIUDICE SERGIO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
9181;SANTI RAFFAELLA;03/12/2012;PARTITO DEMOCRATICO;P;3;22
32704;LAMA ROSSELLA;03/12/2012;PARTITO DEMOCRATICO;P;11;80
27410;FERRI MARIARAFFAELLA;03/12/2012;PARTITO DEMOCRATICO;A;0;0
27481;ZACCHIROLI BENEDETTO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
32794;MIGNANI MARIANNA;03/12/2012;PARTITO DEMOCRATICO;P;11;80
22034;GHETTI MAURIZIO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
33977;BENASSI MARZIA;03/12/2012;PARTITO DEMOCRATICO;P;11;80
33978;ERRANI FRANCESCO;03/12/2012;PARTITO DEMOCRATICO;P;10;73
27197;MELEGA CORRADO;03/12/2012;PARTITO DEMOCRATICO;P;11;80
9097;PETRELLA TOMMASO;03/12/2012;PARTITO DEMOCRATICO;P;11;80
33979;LA TORRE CATHY;03/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;8;58
33980;PIERALISI MIRCO;03/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;10;73
26392;CIPRIANI LORENZO;03/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
33987;SAZZINI LORENZO;03/12/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
32714;CAVIANO PASQUALE;03/12/2012;ITALIA DEI VALORI;P;11;80
21843;LISEI MARCO;03/12/2012;'POPOLO DELLA LIBERTA''';P;10;73
27208;TOMASSINI LORENZO;03/12/2012;'POPOLO DELLA LIBERTA''';P;6;44
32712;FACCI MICHELE;03/12/2012;'POPOLO DELLA LIBERTA''';P;11;80
27997;CASTALDINI VALENT.;03/12/2012;'POPOLO DELLA LIBERTA''';A;0;0
8904;CARELLA DANIELE;03/12/2012;'POPOLO DELLA LIBERTA''';P;11;80
20144;GATTUSO PATRIZIO G.;03/12/2012;'POPOLO DELLA LIBERTA''';P;10;73
32719;BERNARDINI MANES;03/12/2012;LEGA NORD;A;0;0
33981;COCCONCELLI MIRKA;03/12/2012;LEGA NORD;P;10;73
33982;SCARANO PAOLA F.;03/12/2012;LEGA NORD;P;10;73
33983;BORGONZONI LUCIA;03/12/2012;LEGA NORD;A;0;0
33984;BUGANI MASSIMO;03/12/2012;MOVIMENTO 5 STELLE;P;10;73
32861;SALSI FEDERICA;03/12/2012;MOVIMENTO 5 STELLE;P;8;58
33985;PIAZZA MARCO;03/12/2012;MOVIMENTO 5 STELLE;P;10;73
33986;ALDROVANDI STEFANO;03/12/2012;BOLOGNA 2016;P;7;51
32708;TURCI DANIELA;03/12/2012;PARTITO DEMOCRATICO;P;8;58
16863;MEROLA VIRGINIO;05/10/2012;SINDACO;A;0;0
9116;CEVENINI MAURIZIO;05/10/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
29442;CRITELLI FRANCESCO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
32746;LEMBI SIMONA;05/10/2012;PARTITO DEMOCRATICO;P;1;49
27189;'BARCELO'' LIZANA LEONARDO L.';05/10/2012;PARTITO DEMOCRATICO;A;0;0
15586;MARCHESINI ANGELO;05/10/2012;PARTITO DEMOCRATICO;P;0;0
18313;LO GIUDICE SERGIO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
9181;SANTI RAFFAELLA;05/10/2012;PARTITO DEMOCRATICO;P;0;0
32704;LAMA ROSSELLA;05/10/2012;PARTITO DEMOCRATICO;P;0;0
27410;FERRI MARIARAFFAELLA;05/10/2012;PARTITO DEMOCRATICO;P;1;49
27481;ZACCHIROLI BENEDETTO;05/10/2012;PARTITO DEMOCRATICO;A;0;0
32794;MIGNANI MARIANNA;05/10/2012;PARTITO DEMOCRATICO;P;1;49
22034;GHETTI MAURIZIO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
33977;BENASSI MARZIA;05/10/2012;PARTITO DEMOCRATICO;P;1;49
33978;ERRANI FRANCESCO;05/10/2012;PARTITO DEMOCRATICO;A;0;0
27197;MELEGA CORRADO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
9097;PETRELLA TOMMASO;05/10/2012;PARTITO DEMOCRATICO;P;1;49
33979;LA TORRE CATHY;05/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;A;0;0
33980;PIERALISI MIRCO;05/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
26392;CIPRIANI LORENZO;05/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
33987;SAZZINI LORENZO;05/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;1;49
32714;CAVIANO PASQUALE;05/10/2012;ITALIA DEI VALORI;P;1;49
21843;LISEI MARCO;05/10/2012;'POPOLO DELLA LIBERTA''';P;1;49
27208;TOMASSINI LORENZO;05/10/2012;'POPOLO DELLA LIBERTA''';A;0;0
32712;FACCI MICHELE;05/10/2012;'POPOLO DELLA LIBERTA''';P;1;49
27997;CASTALDINI VALENT.;05/10/2012;'POPOLO DELLA LIBERTA''';P;1;49
8904;CARELLA DANIELE;05/10/2012;'POPOLO DELLA LIBERTA''';P;1;49
20144;GATTUSO PATRIZIO G.;05/10/2012;'POPOLO DELLA LIBERTA''';P;1;49
32719;BERNARDINI MANES;05/10/2012;LEGA NORD;A;0;0
33981;COCCONCELLI MIRKA;05/10/2012;LEGA NORD;P;1;49
33982;SCARANO PAOLA F.;05/10/2012;LEGA NORD;P;1;49
