Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"16863";"MEROLA VIRGINIO";01/07/2011;"SINDACO";"P";0;0  
"9116";"CEVENINI MAURIZIO";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"9076";"MAZZANTI CLAUDIO";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"29442";"CRITELLI FRANCESCO";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27189";"BARCELO' LIZANA LEONARDO L.";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"18313";"LO GIUDICE SERGIO";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"9181";"SANTI RAFFAELLA";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"27481";"ZACCHIROLI BENEDETTO";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"22034";"GHETTI MAURIZIO";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"33977";"BENASSI MARZIA";01/07/2011;"PARTITO DEMOCRATICO";"A";0;0  
"33978";"ERRANI FRANCESCO";01/07/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27197";"MELEGA CORRADO";01/07/2011;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";01/07/2011;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";01/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";01/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"26392";"CIPRIANI LORENZO";01/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33987";"SAZZINI LORENZO";01/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"32714";"CAVIANO PASQUALE";01/07/2011;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";01/07/2011;"POPOLO DELLA LIBERTA'";"A";0;0  
"27208";"TOMASSINI LORENZO";01/07/2011;"POPOLO DELLA LIBERTA'";"A";0;0  
"32712";"FACCI MICHELE";01/07/2011;"POPOLO DELLA LIBERTA'";"A";0;0  
"27997";"CASTALDINI VALENT.";01/07/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"8904";"CARELLA DANIELE";01/07/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";01/07/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";01/07/2011;"LEGA NORD";"P";1;49 
"33981";"COCCONCELLI MIRKA";01/07/2011;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";01/07/2011;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";01/07/2011;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";01/07/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"32861";"SALSI FEDERICA";01/07/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";01/07/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"33986";"ALDROVANDI STEFANO";01/07/2011;"BOLOGNA 2016";"P";1;49 
"16863";"MEROLA VIRGINIO";02/12/2011;"SINDACO";"A";0;0  
"9116";"CEVENINI MAURIZIO";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"9076";"MAZZANTI CLAUDIO";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"32746";"LEMBI SIMONA";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"9181";"SANTI RAFFAELLA";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32704";"LAMA ROSSELLA";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27481";"ZACCHIROLI BENEDETTO";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"32794";"MIGNANI MARIANNA";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";02/12/2011;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";02/12/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27197";"MELEGA CORRADO";02/12/2011;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";02/12/2011;"PARTITO DEMOCRATICO";"A";0;0  
"33979";"LA TORRE CATHY";02/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";02/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
"26392";"CIPRIANI LORENZO";02/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33987";"SAZZINI LORENZO";02/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"32714";"CAVIANO PASQUALE";02/12/2011;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";02/12/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"27208";"TOMASSINI LORENZO";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"32712";"FACCI MICHELE";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";02/12/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"8904";"CARELLA DANIELE";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";02/12/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";02/12/2011;"LEGA NORD";"A";0;0  
"33981";"COCCONCELLI MIRKA";02/12/2011;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";02/12/2011;"LEGA NORD";"P";1;49 
